recipe_id,recipe_name,spiciness,richness,sweetness,umami,ingredients
1,noodle bam,3,7,2,8,"['Noodles', 'Chashu Pork', 'Green Onions', 'Egg', 'Soy Sauce']"
2,Classic Shoyu Ramen,8,6,3,7,"['Noodles', 'Ground Pork', 'Miso Paste', 'Sesame Oil', 'Bean Sprouts']"
3,Spicy Miso Ramen,6,9,1,9,"['Noodles', 'Pork Bones', 'Pork Belly', 'Green Onions', 'Garlic']"
4,Tonkotsu Ramen,4,5,4,5,"['Noodles', 'Tofu', 'Mushrooms', 'Bok Choy', 'Soy Sauce']"
5,Vegetarian Ramen,7,8,2,8,"['Noodles', 'Shrimp', 'Bamboo Shoots', 'Nori', 'Chili Oil']"
6,Shrimp Ramen,5,6,3,6,"['Noodles', 'Kimchi', 'Tofu', 'Green Onions', 'Sesame Seeds']"
7,Kimchi Ramen,2,4,5,7,"['Noodles', 'Soy Milk', 'Seaweed', 'Corn', 'Tamari']"
8,Soy Milk Ramen,4,5,3,6,"['Noodles', 'Garlic Butter', 'Chicken Broth', 'Corn', 'Soy Sauce']"
9,Garlic Butter Ramen,6,7,2,8,"['Noodles', 'Sesame Chicken', 'Bok Choy', 'Mushrooms', 'Soy Sauce']"
10,Sesame Chicken Ramen,5,6,4,7,"['Rice Noodles', 'Beef', 'Bean Sprouts', 'Basil', 'Lime']"
11,Beef Pho,7,8,3,9,"['Rice Noodles', 'Chicken', 'Curry Paste', 'Coconut Milk', 'Laksa Leaves']"
12,Curry Laksa,6,7,2,8,"['Noodles', 'Assorted Seafood', 'Coconut Milk', 'Lemongrass', 'Chili Paste']"
13,Seafood Ramen,3,5,4,7,"['Noodles', 'Tofu', 'Vegetables', 'Miso Paste', 'Soy Sauce']"
14,Vegan Tofu Ramen,5,6,3,6,"['Noodles', 'Pork Belly', 'Egg', 'Bamboo Shoots', 'NorI']"
15,Pork Belly Ramen,8,9,1,9,"['Noodles', 'Duck Breast', 'Shiitake Mushrooms', 'Bok Choy', 'Soy Sauce']"
16,Duck Ramen,7,8,2,7,"['Noodles', 'Beef Strips', 'Soy Sauce', 'Chili Paste', 'Bamboo Shoots']"
17,Spicy Beef Ramen,6,7,4,8,"['Noodles', 'Chicken Strips', 'Soy Sauce', 'Green Onions', 'Shoyu Broth']"
18,Shoyu Chicken Ramen,4,5,3,6,"['Noodles', 'Shiitake Mushrooms', 'Miso Paste', 'Bamboo Shoots', 'Green Onions']"
19,Mushroom Miso Ramen,8,7,1,8,"['Ramen Noodles', 'Shrimp', 'Lemongrass', 'Coconut Milk', 'Chili Paste']"
20,Lemongrass Shrimp Ramen,7,6,3,6,"['Udon Noodles', 'Teriyaki Salmon', 'Bok Choy', 'Sesame Seeds', 'NorI']"
21,Teriyaki Salmon Ramen,5,4,5,7,"['Noodles', 'Tofu', 'Peanuts', 'Soy Sauce', 'Chili Oil']"
22,Peanut Tofu Ramen,6,8,2,9,"['Noodles', 'Beef Strips', 'Kimchi', 'Soy Sauce', 'Green Onions']"
23,Spicy Kimchi Beef Ramen,9,7,1,8,"['Ramen Noodles', 'Shrimp', 'Tom Yum Paste', 'Coconut Milk', 'Lemongrass']"
24,Tom Yum Goong Ramen,8,9,2,6,"['Noodles', 'Chicken Strips', 'Green Curry Paste', 'Coconut Milk', 'Bok Choy']"
25,Green Curry Chicken Ramen,7,8,1,7,"['Noodles', 'Shrimp', 'Pineapple', 'Soy Sauce', 'Chili Garlic Sauce']"
26,Shrimp and Pineapple Ramen,6,7,3,9,"['Noodles', 'Pork Strips', 'Sesame Oil', 'Soy Sauce', 'Chili Paste']"
27,Chili Garlic Pork Ramen,9,6,5,8,"['Noodles', 'Tofu', 'Sesame Seeds', 'Miso Butter', 'Green Onions']"
28,Sesame Tofu Ramen,5,9,2,6,"['Noodles', 'Sweet Chili Chicken', 'Pineapple', 'Bell Peppers', 'Soy Sauce']"
29,Miso Butter Corn Ramen,8,5,1,7,"['Ramen Noodles', 'Coconut Curry Shrimp', 'Bok Choy', 'Mushrooms', 'Red Curry Paste']"
30,Sweet Chili Chicken Ramen,1,8,8,6,"['ramen noodle', 'tomatos', 'kep']"
